00650 - PIEMONTE P78 CARNEIRO LOBO SPE LTDA,,Requisição de Materiais e Serviços,Emissão:,46112,0.54106481481721858,Página: 1 / 1,,
1429,1429,45667,POTY R09 V00,102,01.04.01.09.005,9306 -  09306-MO EXECUÇÃO JUNTA SERRADA COM BARRA DE TRANSFERÊNCIA,45764,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,103,01.05.01.02.003,4877 -  04877-MO EXECUÇÃO DE ALVENARIA DE BLOCO DE CONCRETO 14CM,45757,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,105,01.07.02.02.003,4952 -  04952-MO EXECUÇÃO DE REQUADRO EMBOÇO INTERNO,45764,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,106,01.07.02.03.005,5183 -  05183-MO EXECUÇÃO DE REQUADRO EMBOÇO EXTERNO,45764,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,107,01.07.02.04.002,5535 -  05535-MO EXECUÇÃO DE CONTRAPISO NORMAL,45764,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,108,01.07.03.01.009,5013 -  05013-MO ASSENTAMENTO DE PISO CERAMICO,45764,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,109,01.09.02.01.002,8498 -  08498-MO EXECUÇÃO DE ALVENARIA BLOCO CERAMICO ESTRUTURAL 14CM,45764,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,110,01.07.03.03.004,9371 -  09371-MO ASSENTAMENTO DE PORCELANATO EM REQUADRO EXTERNO,45770,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,111,01.07.03.03.006,9372 -  09372-MO ASSENTAMENTO DE PASTILHA EM REQUADRO,45770,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,112,01.07.03.03.002,9373 -  09373-MO ASSENTAMENTO DE LITOCERÂMICA EM REQUADRO,45770,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,113,01.08.01.02.004,9374 -  09374-MO EXECUÇÃO DE DRENAGEM VERTICAL,45769,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,114,01.09.02.01.004,9375 -  09375-MO EXECUÇÃO DE CHAPISCO MURO,45769,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,115,01.09.02.01.005,9376 -  09376-MO EXECUÇÃO DE EMBOÇO MURO,45769,Baixada
,1429,,,,,,,
1429,1429,45667,POTY R09 V00,116,01.07.02.03.003,5176 -  05176-MO EXECUÇÃO DE CHAPISCO EXTERNO,45761,Baixada
,1429,,,,,,,
